new_subcategory,family,category,segment
COMEDOURO,82-ACESSORIOS PET,33-PET CARE,1-BENS DE CONSUMO
COSMETICO,83-HIGIENE PET,33-PET CARE,1-BENS DE CONSUMO
FORRAGEM,83-HIGIENE PET,33-PET CARE,1-BENS DE CONSUMO
GRANULAR HIGIENICO,83-HIGIENE PET,33-PET CARE,1-BENS DE CONSUMO
SHAMPOO,83-HIGIENE PET,33-PET CARE,1-BENS DE CONSUMO
TAPETE HIGIENICO,83-HIGIENE PET ,33-PET CARE,1-BENS DE CONSUMO
OUTROS,86-RACOES E PETISCOS ALIMENTO,34-PET FOOD,1-BENS DE CONSUMO
PET,86-RACOES E PETISCOS ALIMENTO,34-PET FOOD,1-BENS DE CONSUMO
OUTROS,87-DIVERSOS PET SHOP,35-PET SHOP,1-BENS DE CONSUMO
CHURRASQUEIRA,88-AREA GOURMET,36-AREA DE LAZER,2-CASA E CONSTRUCAO
OUTROS,89-PISCINAS ,36-AREA DE LAZER,2-CASA E CONSTRUCAO
ACESSORIO DE PISCINA,89-PISCINAS ,36-AREA DE LAZER,2-CASA E CONSTRUCAO
BOIA,89-PISCINAS ,36-AREA DE LAZER,2-CASA E CONSTRUCAO
EQUIPAMENTO DE LIMPEZA,89-PISCINAS ,36-AREA DE LAZER,2-CASA E CONSTRUCAO
FILTRO DE PISCINA,89-PISCINAS ,36-AREA DE LAZER,2-CASA E CONSTRUCAO
PISCINA,89-PISCINAS ,36-AREA DE LAZER,2-CASA E CONSTRUCAO
PRODUTOS DE LIMPEZA,89-PISCINAS ,36-AREA DE LAZER,2-CASA E CONSTRUCAO
ADOCANTE,8-FUNCIONAIS E RESTRITIVOS ,4-FUNCIONAIS E RESTRITIVOS,1-BENS DE CONSUMO
BARRA ALIMENTAR,8-FUNCIONAIS E RESTRITIVOS ,4-FUNCIONAIS E RESTRITIVOS,1-BENS DE CONSUMO
COMPLEMENTO ALIMENTAR,8-FUNCIONAIS E RESTRITIVOS ,4-FUNCIONAIS E RESTRITIVOS,1-BENS DE CONSUMO
DEMAIS FUNCIONAIS,8-FUNCIONAIS E RESTRITIVOS ,4-FUNCIONAIS E RESTRITIVOS,1-BENS DE CONSUMO
FARINHA DE LINHACA,8-FUNCIONAIS E RESTRITIVOS ,4-FUNCIONAIS E RESTRITIVOS,1-BENS DE CONSUMO
SEMENTES,8-FUNCIONAIS E RESTRITIVOS ,4-FUNCIONAIS E RESTRITIVOS,1-BENS DE CONSUMO
SUPLEMENTO ALIMENTAR,8-FUNCIONAIS E RESTRITIVOS ,4-FUNCIONAIS E RESTRITIVOS,1-BENS DE CONSUMO
OUTROS,,8-PREPARADOS E CONGELADOS,1-BENS DE CONSUMO
ESPELHO DECORATIVO,92-OBJETOS DECORATIVOS,37-ARTIGOS DE DECORACAO,2-CASA E CONSTRUCAO
QUADRO,92-OBJETOS DECORATIVOS,37-ARTIGOS DE DECORACAO,2-CASA E CONSTRUCAO
TAPETE BOX,93-BANHO TAPETE BOX,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
TOALHA,93-BANHO TOALHA,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
TOALHA BANHO,93-BANHO TOALHA BANHO,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
ALMOFADA,94-CAMA ALMOFADA,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
